"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1746798019","-1486.689","-3521.889","-2894.104","-278.950","-1239.330","-855.476","-352.114","-4643.202","-490.397","-1256.317","-1723.468","-1206.547","-1920.462","-3276.765","-2045.631","-1311.004"
"1746798020","-1585.484","-3334.284","-2898.723","-272.393","-1309.067","-834.167","-354.499","-4420.429","-501.573","-1357.049","-1541.227","-1226.068","-1768.023","-3304.332","-1932.532","-1379.848"
"1746798021","-1708.716","-3277.957","-2877.712","-216.663","-1328.886","-847.578","-363.737","-4385.710","-471.473","-1382.232","-1519.024","-1196.265","-1854.599","-3075.302","-2174.675","-1467.466"
"1746798022","-1711.547","-3477.186","-2869.219","-101.626","-1315.624","-876.784","-361.800","-4534.870","-369.847","-1366.585","-1653.284","-1209.825","-2005.100","-3164.560","-2126.098","-1512.766"
"1746798023","-1619.458","-3558.248","-2867.430","-141.114","-1296.401","-810.772","-356.585","-4739.463","-260.025","-1297.891","-1765.639","-1235.008","-1998.544","-3392.845","-1936.853","-1542.419"
"1746798024","-1483.262","-3587.306","-2882.779","-263.304","-1218.915","-761.449","-364.333","-4676.580","-405.014","-1204.163","-1598.746","-1213.998","-1844.317","-3265.440","-2163.500","-1539.439"
"1746798025","-1500.547","-3599.972","-2867.430","-292.063","-1228.303","-823.289","-371.933","-4376.322","-533.909","-1176.596","-1520.365","-1228.750","-1851.022","-3183.037","-2020.895","-1536.608"
"1746798026","-1613.349","-3504.604","-2856.404","-280.589","-1277.775","-870.228","-371.933","-4333.854","-440.180","-1242.459","-1750.141","-1230.389","-2028.942","-3389.865","-1977.384","-1555.234"
"1746798027","-1735.389","-3298.968","-2871.007","-132.769","-1315.773","-846.088","-356.138","-4672.557","-266.582","-1339.763","-1759.380","-1232.177","-1970.083","-3189.445","-2204.627","-1505.017"
"1746798028","-1663.268","-3250.688","-2886.206","-46.939","-1319.647","-845.790","-341.982","-4836.917","-272.393","-1364.052","-1599.193","-1223.981","-1806.021","-3107.190","-1997.352","-1395.345"
"1746798029","-1528.710","-3357.679","-2885.461","-50.217","-1319.498","-855.029","-353.456","-4673.451","-437.647","-1367.629","-1534.671","-1243.800","-1821.816","-3322.065","-1944.900","-1342.893"
"1746798030","-1498.461","-3530.383","-2886.057","-219.494","-1308.620","-855.476","-358.969","-4307.479","-547.469","-1343.042","-1673.847","-1231.879","-2015.978","-3363.937","-2180.338","-1417.696"
"1746798031","-1552.999","-3554.225","-2872.944","-282.973","-1319.796","-887.066","-356.436","-4284.531","-421.554","-1254.082","-1787.394","-1233.965","-1951.158","-3178.418","-2001.971","-1493.692"
"1746798032","-1713.336","-3493.279","-2847.910","-282.526","-1266.897","-855.476","-355.691","-4617.572","-258.386","-1183.599","-1644.790","-1254.529","-1789.778","-3313.273","-2100.319","-1525.730"
"1746798033","-1718.998","-3346.801","-2840.608","-221.133","-1196.116","-860.691","-359.118","-4747.957","-291.467","-1237.243","-1533.478","-1220.852","-1963.228","-3395.975","-2109.855","-1537.502"
"1746798034","-1605.153","-3245.175","-2859.235","-119.209","-1229.346","-863.224","-363.737","-4471.391","-495.166","-1331.121","-1687.557","-1247.376","-2049.506","-3217.161","-2069.026","-1506.805"
"1746798035","-1482.069","-3388.524","-2886.355","-26.077","-1327.246","-860.989","-361.204","-4241.467","-543.594","-1367.927","-1787.245","-1252.890","-1941.323","-3214.777","-2153.814","-1513.362"
"1746798036","-1498.610","-3519.356","-2886.951","-120.401","-1341.701","-862.777","-360.012","-4245.490","-454.932","-1369.715","-1709.610","-1247.376","-1841.933","-3398.210","-2087.802","-1531.988"
"1746798037","-1543.164","-3567.338","-2871.156","-244.975","-1321.286","-870.973","-357.330","-4577.190","-251.085","-1341.254","-1562.387","-1253.486","-1868.904","-3309.548","-1972.914","-1546.592"
"1746798038","-1694.411","-3521.442","-2805.889","-305.027","-1296.699","-869.334","-356.734","-4759.580","-270.605","-1228.750","-1632.720","-1235.455","-2048.165","-3136.247","-2163.798","-1553.744"
"1746798039","-1718.700","-3350.973","-2705.455","-312.179","-1307.279","-870.675","-357.628","-4517.585","-482.798","-1182.109","-1774.728","-1261.234","-1986.325","-3399.402","-2056.807","-1546.443"
"1746798040","-1628.995","-3233.105","-2746.582","-286.996","-1319.796","-853.539","-356.287","-4228.503","-529.587","-1254.082","-1696.348","-1264.364","-1827.031","-3273.040","-2042.800","-1542.717"
"1746798041","-1480.877","-3359.318","-2849.251","-99.391","-1325.011","-831.038","-354.201","-4273.057","-423.789","-1338.124","-1577.437","-1239.479","-1859.963","-3128.052","-2196.133","-1535.416"
"1746798042","-1497.269","-3503.263","-2842.396","-25.630","-1286.268","-875.592","-354.648","-4523.993","-279.695","-1369.715","-1594.275","-1247.525","-2015.531","-3338.009","-2078.116","-1517.087"
"1746798043","-1647.919","-3568.232","-2828.091","-51.856","-1207.292","-866.205","-351.667","-4746.765","-250.041","-1352.131","-1763.552","-1259.595","-2032.667","-3376.305","-1990.050","-1525.730"
"1746798044","-1701.266","-3555.268","-2841.055","-189.543","-1258.701","-845.492","-354.946","-4531.145","-419.170","-1341.701","-1725.405","-1263.320","-1896.024","-3325.939","-2212.226","-1506.060"
"1746798045","-1636.893","-3407.747","-2842.993","-269.860","-1315.027","-847.578","-352.263","-4232.973","-526.011","-1320.243","-1578.927","-1270.324","-1826.137","-3221.333","-1943.260","-1508.892"
"1746798046","-1485.348","-3231.764","-2862.215","-289.530","-1331.419","-874.102","-352.114","-4318.357","-433.475","-1222.938","-1609.176","-1252.443","-1954.734","-3370.196","-2139.509","-1526.177"
"1746798047","-1489.669","-3290.474","-2869.815","-289.530","-1315.773","-868.440","-356.883","-4600.734","-254.214","-1190.156","-1762.509","-1277.179","-2032.220","-3366.023","-2173.185","-1531.988"
"1746798048","-1647.323","-3507.733","-2836.436","-125.319","-1307.130","-872.612","-341.684","-4708.767","-241.101","-1249.015","-1755.953","-1267.195","-1996.458","-3178.418","-1944.602","-1508.296"
"1746798049","-1707.524","-3551.990","-2809.912","-42.617","-1306.236","-911.504","-339.150","-4567.653","-394.732","-1329.035","-1662.672","-1240.820","-1872.927","-3220.290","-2057.701","-1534.671"
"1746798050","-1675.487","-3551.096","-2813.041","-45.449","-1313.090","-892.282","-343.174","-4310.608","-518.858","-1366.287","-1594.722","-1253.933","-1813.173","-3400.594","-2190.471","-1536.310"
"1746798051","-1503.676","-3408.492","-2813.786","-203.252","-1315.922","-851.452","-341.386","-4339.814","-429.451","-1366.735","-1769.215","-1267.791","-2047.122","-3350.824","-1939.088","-1529.455"
"1746798052","-1479.536","-3277.063","-2812.594","-268.668","-1327.246","-852.644","-345.558","-4650.056","-248.551","-1356.602","-1779.199","-1279.563","-2027.750","-3283.024","-2197.325","-1537.353"
"1746798053","-1516.640","-3344.715","-2809.018","-288.188","-1318.157","-881.404","-343.323","-4699.975","-330.508","-1285.672","-1570.880","-1286.268","-1990.795","-3244.281","-2119.839","-1532.137"
"1746798054","-1685.321","-3547.966","-2818.853","-206.530","-1214.743","-912.994","-353.158","-4464.090","-508.130","-1218.915","-1552.403","-1251.698","-2034.009","-3398.359","-1914.799","-1529.455"
"1746798055","-1713.037","-3579.259","-2830.923","-90.748","-1223.981","-876.635","-353.158","-4229.099","-534.952","-1185.834","-1719.743","-1240.522","-1948.476","-3373.176","-2127.886","-1531.392"
"1746798056","-1566.410","-3538.430","-2838.671","-9.239","-1316.071","-742.972","-353.456","-4303.902","-360.608","-1231.730","-1801.103","-1271.069","-1837.611","-3151.596","-2126.247","-1540.780"
"1746798057","-1472.980","-3373.772","-2831.817","-113.845","-1328.290","-839.233","-356.138","-4666.150","-206.083","-1340.210","-1638.979","-1284.033","-1927.614","-3357.381","-2045.035","-1522.601"
"1746798058","-1478.642","-3273.934","-2830.625","-219.494","-1328.588","-901.371","-331.998","-4721.284","-310.093","-1374.036","-1575.202","-1281.053","-2050.996","-3396.720","-2165.735","-1527.369"
"1746798059","-1629.889","-3388.524","-2822.876","-269.264","-1310.110","-863.969","-346.750","-4413.128","-489.950","-1356.751","-1767.725","-1275.688","-1967.102","-3284.812","-2066.791","-1555.532"
"1746798060","-1705.140","-3508.031","-2826.005","-264.347","-1307.577","-864.416","-354.350","-4220.903","-476.688","-1354.367","-1790.673","-1277.477","-1880.229","-3245.175","-2074.391","-1529.306"
"1746798061","-1693.219","-3558.248","-2840.757","-281.334","-1313.537","-875.592","-350.475","-4377.961","-451.207","-1338.422","-1634.955","-1246.035","-1896.322","-3408.790","-2196.729","-1519.024"
"1746798062","-1508.594","-3569.722","-2816.767","-128.299","-1321.584","-877.827","-353.903","-4670.918","-344.068","-1258.254","-1553.446","-1264.662","-2036.989","-3363.341","-2062.619","-1516.789"
"1746798063","-1453.310","-3559.291","-2828.836","-13.411","-1302.809","-900.328","-366.122","-4741.549","-244.975","-1193.732","-1711.845","-1287.758","-2038.032","-3197.193","-2034.307","-1543.611"
"1746798064","-1568.198","-3320.873","-2808.869","-35.167","-1260.042","-891.834","-370.145","-4421.175","-393.093","-1242.906","-1810.193","-1280.308","-1878.589","-3358.573","-2179.146","-1548.082"
"1746798065","-1687.109","-3304.332","-2792.776","-155.419","-1282.990","-895.113","-373.274","-4237.890","-489.205","-1347.214","-1673.996","-1256.019","-1883.209","-3394.485","-2022.833","-1520.067"
"1746798066","-1706.928","-3440.082","-2796.799","-226.945","-1317.859","-895.858","-369.251","-4522.204","-421.852","-1387.000","-1568.943","-1269.877","-2046.227","-3180.802","-2149.493","-1513.958"
"1746798067","-1606.196","-3563.762","-2802.461","-236.630","-1331.568","-899.881","-349.581","-4787.892","-251.085","-1365.989","-1738.518","-1285.672","-2022.535","-3281.832","-2084.970","-1537.651"
"1746798068","-1494.139","-3551.394","-2777.874","-223.368","-1318.306","-888.109","-350.624","-4681.349","-220.537","-1356.602","-1820.028","-1284.778","-1916.289","-3468.692","-2001.524","-1544.654"
"1746798069","-1464.933","-3549.606","-2799.183","-213.385","-1322.329","-880.063","-368.059","-4433.692","-377.744","-1322.478","-1729.429","-1259.446","-1824.349","-3374.070","-2156.943","-1522.750"
"1746798070","-1637.638","-3550.351","-3065.616","-221.431","-1298.487","-888.407","-365.525","-4312.843","-476.092","-1232.326","-1581.758","-1269.579","-1981.109","-3291.368","-2091.825","-1417.100"
"1746798071","-1692.176","-3577.322","-3154.129","-212.789","-1229.048","-901.371","-356.287","-4577.935","-419.319","-1205.951","-1677.871","-1286.566","-2069.771","-3195.703","-1981.258","-1411.885"
"1746798072","-1663.417","-3596.991","-2962.798","-198.185","-1206.100","-881.702","-366.569","-4777.163","-411.719","-1296.699","-1784.265","-1291.782","-1926.422","-3413.409","-2224.296","-1492.947"
"1746798073","-1591.295","-3581.047","-2882.332","-222.772","-1281.947","-880.063","-366.569","-4613.250","-451.952","-1374.483","-1740.158","-1263.916","-1858.175","-3319.532","-1990.050","-1541.227"
"1746798074","-1478.940","-3541.857","-2874.434","-208.765","-1337.528","-797.063","-367.612","-4391.372","-451.207","-1395.047","-1617.074","-1268.387","-1982.749","-3172.159","-2021.194","-1562.834"
"1746798075","-1515.299","-3378.838","-2845.973","-40.978","-1339.316","-856.072","-367.016","-4380.196","-403.225","-1377.761","-1578.033","-1293.570","-2076.775","-3232.509","-2217.442","-1558.363"
"1746798076","-1652.837","-3460.050","-2820.492","-26.971","-1323.074","-933.260","-368.655","-4656.762","-206.828","-1326.501","-1748.651","-1287.311","-1986.176","-3466.010","-2015.829","-1534.075"
"1746798077","-1689.047","-3526.062","-2808.273","-113.994","-1325.458","-906.587","-373.572","-4820.824","-278.205","-1240.075","-1810.938","-1270.473","-1826.584","-3197.193","-2101.511","-1548.082"
"1746798078","-1654.029","-3555.417","-2906.621","-180.751","-1329.333","-890.642","-374.317","-4605.800","-481.158","-1200.438","-1631.230","-1267.344","-1954.585","-3271.997","-2148.151","-1556.873"
"1746798079","-1649.559","-3548.115","-3090.054","-189.394","-1337.081","-903.606","-362.396","-4383.028","-451.505","-1242.310","-1623.333","-1268.536","-2068.132","-3421.158","-1997.054","-1552.105"
"1746798080","-1662.523","-3562.868","-3095.120","-195.056","-1326.650","-913.441","-286.996","-4543.513","-376.850","-1350.045","-1777.858","-1289.546","-1934.767","-3237.873","-2205.670","-1524.538"
"1746798081","-1601.875","-3569.424","-2938.062","-188.798","-1268.387","-825.673","-301.152","-4775.226","-389.218","-1381.338","-1801.848","-1288.652","-1873.374","-3174.245","-2096.295","-1528.263"
"1746798082","-1498.014","-3578.812","-2850.145","-194.311","-1210.570","-733.584","-330.657","-4822.016","-409.931","-1389.682","-1625.270","-1274.347","-1985.282","-3401.339","-1970.679","-1528.412"
"1746798083","-1554.340","-3581.196","-2841.651","-212.789","-1284.480","-885.576","-348.687","-4606.843","-427.216","-1373.887","-1597.106","-1292.378","-2031.773","-3380.328","-2193.153","-1537.651"
"1746798084","-1664.758","-3571.063","-2866.983","-221.431","-1335.591","-971.705","-340.044","-4492.998","-416.934","-1327.544","-1794.696","-1270.920","-1866.966","-3137.290","-2080.798","-1540.631"
"1746798085","-1678.616","-3578.663","-3010.482","-225.753","-1341.105","-929.832","-337.511","-4607.886","-406.504","-1244.098","-1749.992","-1269.281","-1904.815","-3333.241","-1995.862","-1533.777"
"1746798086","-1655.817","-3584.176","-3113.300","-217.408","-1324.564","-855.625","-353.158","-4801.005","-426.620","-1216.233","-1570.880","-1284.927","-2102.852","-3409.833","-2207.160","-1533.478"
"1746798087","-1668.185","-3584.921","-2964.884","-211.746","-1325.756","-896.603","-354.350","-4775.822","-426.173","-1270.175","-1608.431","-1292.527","-2023.876","-3208.518","-2094.805","-1525.879"
"1746798088","-1652.837","-3586.411","-2848.655","-226.945","-1282.245","-935.197","-366.271","-4609.376","-419.021","-1345.277","-1788.735","-1292.974","-1837.164","-3140.569","-2012.998","-1522.005"
"1746798089","-1598.597","-3588.945","-2829.731","-234.097","-1209.080","-894.666","-368.059","-4511.923","-255.108","-1392.663","-1799.464","-1261.085","-1913.756","-3336.072","-2176.166","-1556.575"
"1746798090","-1494.586","-3587.455","-2941.191","-225.306","-1226.962","-806.600","-356.287","-4651.248","-233.948","-1370.311","-1601.279","-1291.931","-2114.177","-3410.876","-2082.437","-1565.963"
"1746798091","-1568.794","-3584.176","-3159.493","-221.431","-1318.902","-844.747","-354.201","-4843.473","-475.049","-1269.579","-1640.320","-1272.410","-1947.880","-3167.689","-2046.973","-1546.741"
"1746798092","-1675.636","-3585.815","-3112.406","-217.855","-1344.383","-923.574","-297.576","-4744.232","-597.090","-1210.272","-1796.633","-1281.649","-1841.336","-3279.895","-2183.616","-1553.297"
"1746798093","-1686.364","-3587.753","-2955.794","-204.295","-1333.207","-921.190","-252.426","-4559.457","-433.028","-1271.069","-1771.003","-1294.613","-2019.703","-3415.048","-1995.862","-1473.129"
"1746798094","-1657.307","-3596.395","-2860.725","-208.914","-1318.455","-871.420","-300.854","-4552.603","-264.347","-1358.092","-1638.234","-1258.850","-2099.574","-3192.425","-1983.643","-1358.986"
"1746798095","-1653.880","-3611.147","-2851.039","-216.216","-1325.160","-892.282","-335.127","-4703.403","-212.342","-1392.663","-1607.686","-1267.940","-1986.623","-3169.179","-2180.934","-1335.442"
"1746798096","-1679.063","-3615.767","-2886.802","-213.683","-1337.528","-915.676","-348.538","-4854.947","-398.457","-1385.957","-1770.407","-1289.845","-1812.279","-3423.989","-2081.245","-1443.624"
"1746798097","-1666.099","-3625.005","-3056.973","-199.825","-1303.554","-896.752","-349.879","-4695.207","-502.914","-1302.660","-1789.629","-1275.241","-2007.037","-3286.600","-2055.615","-1530.647"
"1746798098","-1548.231","-3628.880","-3158.450","-117.719","-1226.068","-800.639","-346.154","-4565.716","-453.442","-1216.084","-1584.589","-1294.017","-2094.507","-3148.913","-2205.372","-1557.767"
"1746798099","-1498.759","-3641.546","-2982.914","-56.177","-1261.979","-823.438","-351.816","-4604.459","-413.656","-1220.703","-1653.582","-1263.320","-1882.315","-3430.843","-1969.784","-1557.469"
"1746798100","-1625.717","-3644.526","-2890.974","-119.209","-1331.717","-932.366","-352.859","-4754.514","-443.310","-1314.431","-1835.525","-1285.821","-1875.907","-3262.758","-2100.319","-1559.854"
"1746798101","-1694.709","-3644.079","-2873.093","-183.582","-1355.857","-921.041","-366.420","-4854.202","-461.340","-1373.887","-1761.019","-1293.123","-2061.129","-3066.957","-2212.524","-1571.476"
"1746798102","-1677.871","-3696.233","-2849.996","-210.404","-1336.485","-891.685","-372.827","-4755.855","-410.825","-1392.663","-1593.232","-1267.344","-2081.394","-3239.661","-2038.181","-1559.108"
"1746798103","-1669.377","-3683.269","-2868.325","-199.527","-1311.600","-918.210","-369.549","-4575.551","-328.720","-1380.146","-1613.349","-1272.708","-1871.735","-3441.721","-2030.879","-1537.949"
"1746798104","-1678.020","-3665.388","-3133.118","-222.027","-1253.039","-889.450","-379.235","-4600.137","-424.683","-1287.460","-1838.952","-1281.798","-1887.977","-3200.769","-2174.824","-1569.837"
"1746798105","-1653.433","-3665.090","-3125.221","-240.356","-1288.354","-764.728","-390.410","-4725.009","-477.135","-1215.786","-1772.195","-1274.198","-2067.387","-3263.354","-1995.414","-1572.818"
"1746798106","-1542.121","-3677.160","-2967.119","-246.167","-1336.336","-767.857","-360.608","-4793.108","-444.055","-1256.764","-1581.162","-1280.308","-2001.077","-3420.115","-2173.930","-1591.444"
"1746798107","-1527.816","-3658.980","-2882.779","-251.085","-1340.210","-943.094","-259.578","-4692.674","-344.515","-1335.144","-1642.704","-1263.618","-1836.121","-3238.320","-2177.060","-1603.961"
"1746798108","-1668.483","-3674.477","-2877.414","-260.919","-1314.580","-956.059","-237.525","-4578.382","-218.302","-1385.361","-1811.534","-1285.821","-1902.133","-3134.310","-1976.192","-1521.260"
"1746798109","-1722.425","-3687.590","-2866.834","-252.873","-1245.141","-924.915","-282.377","-4594.475","-348.687","-1403.242","-1772.940","-1283.139","-2102.107","-3329.366","-2088.845","-1389.086"
"1746798110","-1686.662","-3680.736","-2855.211","-251.830","-1226.366","-863.969","-352.859","-4687.458","-491.291","-1332.909","-1580.715","-1270.920","-1939.386","-3384.948","-2162.158","-1343.191"
"1746798111","-1687.258","-3636.330","-2830.476","-186.265","-1289.248","-778.437","-361.204","-4784.912","-444.055","-1232.326","-1695.454","-1283.288","-1838.356","-3176.033","-1969.934","-1415.163"
"1746798112","-1582.652","-3362.447","-2966.970","-40.829","-1352.578","-905.991","-357.628","-4671.067","-432.134","-1208.782","-1841.187","-1279.563","-1973.808","-3194.511","-2143.979","-1515.150"
"1746798113","-1494.139","-3345.460","-3119.111","-90.748","-1345.575","-964.999","-358.969","-4550.070","-485.182","-1259.744","-1704.693","-1264.066","-2060.980","-3389.567","-2153.367","-1556.426"
"1746798114","-1532.733","-3489.852","-3051.758","-188.053","-1337.379","-905.246","-371.039","-4607.439","-511.110","-1345.873","-1555.681","-1272.559","-1981.854","-3299.713","-2040.267","-1550.913"
"1746798115","-1718.998","-3599.972","-2899.766","-262.707","-1323.968","-785.738","-383.556","-4642.010","-368.357","-1401.454","-1617.968","-1294.017","-1865.923","-3142.655","-1981.556","-1565.963"
"1746798116","-1739.711","-3603.846","-2889.037","-256.002","-1255.572","-858.605","-385.642","-4606.396","-213.236","-1401.156","-1787.692","-1289.994","-1948.327","-3193.170","-2178.103","-1561.046"
"1746798117","-1698.434","-3608.614","-2889.782","-259.727","-1204.014","-958.443","-386.089","-4695.803","-312.179","-1358.092","-1755.357","-1270.175","-2105.683","-3422.946","-2066.195","-1529.455"
"1746798118","-1538.843","-3644.973","-2876.669","-218.749","-1274.794","-901.073","-317.544","-4771.352","-495.017","-1266.152","-1596.808","-1277.775","-1930.147","-3231.168","-2006.292","-1405.329"
"1746798119","-1496.077","-3662.258","-2858.639","-85.533","-1339.167","-840.873","-256.747","-4597.455","-489.205","-1235.008","-1689.345","-1274.049","-1838.505","-3167.093","-2162.904","-1396.686"
"1746798120","-1623.183","-3474.951","-2862.364","-111.461","-1356.751","-816.286","-244.379","-4509.985","-464.022","-1230.240","-1827.180","-1267.493","-1947.582","-3325.343","-2110.600","-1491.606"
"1746798121","-1728.982","-3302.395","-2881.140","-207.573","-1342.744","-942.349","-310.540","-4557.371","-419.319","-1253.933","-1804.084","-1282.543","-2085.418","-3411.919","-2049.059","-1545.995"
"1746798122","-1736.134","-3303.140","-2883.226","-263.900","-1333.952","-952.631","-353.009","-4638.880","-279.099","-1363.754","-1611.710","-1256.764","-2016.574","-3210.157","-2086.163","-1568.943"
"1746798123","-1591.891","-3538.579","-2896.190","-275.970","-1289.248","-855.923","-372.827","-4595.220","-298.917","-1420.528","-1656.115","-1291.037","-1836.121","-3187.060","-2139.211","-1574.308"
"1746798124","-1503.676","-3596.991","-2900.213","-253.171","-1229.793","-783.205","-359.863","-4552.603","-499.487","-1396.239","-1840.293","-1272.261","-1892.447","-3357.977","-1980.513","-1571.029"
"1746798125","-1516.342","-3596.246","-2892.166","-150.204","-1243.949","-843.555","-358.373","-4558.861","-520.945","-1288.056","-1694.262","-1265.705","-2095.848","-3202.111","-2110.600","-1552.552"
"1746798126","-1691.729","-3622.025","-2879.202","-24.289","-1353.025","-949.800","-387.728","-4580.170","-393.093","-1233.518","-1596.957","-1287.460","-2008.229","-3155.619","-2123.863","-1557.022"
"1746798127","-1746.565","-3628.880","-2885.163","-86.725","-1368.076","-947.714","-392.050","-4588.068","-269.711","-1237.690","-1738.369","-1262.426","-1850.128","-3304.183","-1990.497","-1490.712"
"1746798128","-1643.300","-3418.326","-2891.719","-258.684","-1306.683","-802.130","-390.857","-4594.326","-262.409","-1249.760","-1842.529","-1271.814","-1866.668","-3414.005","-2007.335","-1404.434"
"1746798129","-1527.816","-3292.114","-2904.236","-292.957","-1230.836","-759.661","-335.723","-4563.928","-432.134","-1340.657","-1682.788","-1266.450","-2053.082","-3233.850","-2191.514","-1319.796"
"1746798130","-1516.938","-3340.095","-2889.037","-286.847","-1211.315","-891.089","-273.138","-4541.725","-534.356","-1411.885","-1601.726","-1287.013","-2041.012","-3139.824","-2026.111","-1390.129"
"1746798131","-1567.006","-3552.288","-2887.398","-194.311","-1310.706","-944.883","-252.426","-4553.497","-397.116","-1407.713","-1689.792","-1265.258","-1864.880","-3380.328","-2015.531","-1510.680"
"1746798132","-1679.659","-3605.932","-2894.551","-88.215","-1360.476","-906.587","-306.517","-4539.639","-250.936","-1300.573","-1801.252","-1279.265","-1883.805","-3256.798","-2212.077","-1560.748"
"1746798133","-1741.648","-3615.618","-2897.531","-38.445","-1354.516","-880.659","-353.903","-4512.519","-287.592","-1229.048","-1766.831","-1263.469","-2067.089","-3130.883","-1984.388","-1567.453"
"1746798134","-1598.597","-3453.195","-2909.899","-81.658","-1311.600","-815.094","-374.615","-4523.098","-445.247","-1225.770","-1619.458","-1272.857","-2075.136","-3278.852","-1983.345","-1565.516"
"1746798135","-1505.017","-3298.223","-2893.358","-196.844","-1242.757","-884.384","-380.874","-4549.623","-524.968","-1247.078","-1630.187","-1273.602","-1914.948","-3380.626","-2187.788","-1579.672"
"1746798136","-1515.597","-3335.476","-2902.746","-287.741","-1287.460","-936.091","-378.340","-4541.129","-464.767","-1295.656","-1730.174","-1275.688","-1856.834","-3143.847","-2025.515","-1564.622"
"1746798137","-1579.970","-3481.656","-2907.515","-296.831","-1337.826","-900.328","-382.215","-4535.913","-278.950","-1375.228","-1800.805","-1266.003","-2004.802","-3166.199","-2004.206","-1562.536"
"1746798138","-1678.914","-3574.938","-2905.279","-277.162","-1359.433","-781.566","-346.303","-4508.793","-277.907","-1399.368","-1681.298","-1274.943","-2076.477","-3426.075","-2174.228","-1413.822"
"1746798139","-1731.068","-3589.541","-2893.656","-98.497","-1349.300","-833.869","-270.158","-4518.628","-427.961","-1322.776","-1611.263","-1274.347","-1888.722","-3193.915","-2064.556","-1328.140"
"1746798140","-1619.011","-3490.895","-2905.726","-29.355","-1267.493","-958.741","-270.009","-4529.655","-525.713","-1262.426","-1668.632","-1278.818","-1869.202","-3086.925","-1976.490","-1361.966"
"1746798141","-1509.041","-3342.330","-2856.106","-16.242","-1213.402","-958.145","-327.677","-4522.502","-502.169","-1231.581","-1779.646","-1254.678","-1907.200","-3323.257","-2085.268","-1465.678"
"1746798142","-1511.723","-3289.282","-2699.345","-187.606","-1244.098","-794.083","-383.109","-4518.330","-303.984","-1246.929","-1761.019","-1277.775","-2039.671","-3314.912","-2143.383","-1547.486"
"1746798143","-1551.062","-3434.867","-2755.374","-260.770","-1321.137","-748.336","-391.304","-4509.836","-236.481","-1352.727","-1623.929","-1261.830","-2019.107","-3098.547","-1929.700","-1572.222"
"1746798144","-1706.481","-3581.643","-2835.989","-274.926","-1361.817","-956.357","-360.310","-4500.598","-395.924","-1416.802","-1681.745","-1259.446","-1861.304","-3281.981","-2157.092","-1574.606"
"1746798145","-1732.111","-3596.395","-2837.479","-262.558","-1349.896","-970.811","-298.023","-4529.655","-538.826","-1390.576","-1831.651","-1280.159","-1922.846","-3355.592","-2104.193","-1493.096"
"1746798146","-1644.492","-3550.500","-2837.032","-189.245","-1319.349","-911.355","-259.429","-4491.806","-428.259","-1288.950","-1742.393","-1262.277","-2084.076","-3127.009","-1973.808","-1365.244"
"1746798147","-1495.779","-3307.164","-2849.400","-39.786","-1225.770","-843.704","-320.673","-4463.792","-247.657","-1244.247","-1590.848","-1274.347","-2055.466","-3235.042","-2179.444","-1303.256"
"1746798148","-1511.127","-3273.934","-2862.364","1.341","-1224.130","-783.503","-369.549","-4476.756","-221.878","-1235.306","-1605.153","-1267.493","-1879.483","-3345.758","-2137.423","-1393.259"
"1746798149","-1559.854","-3403.723","-2869.517","-94.622","-1304.597","-846.684","-377.893","-4508.346","-320.375","-1256.764","-1779.795","-1281.947","-1873.225","-3152.043","-1912.713","-1502.633"
"1746798150","-1707.822","-3569.424","-2860.874","-267.774","-1361.668","-943.094","-384.897","-4508.197","-479.966","-1267.195","-1809.895","-1267.493","-2035.499","-3194.958","-2197.623","-1557.469"
"1746798151","-1724.064","-3588.945","-2837.926","-284.314","-1350.790","-912.547","-374.764","-4491.955","-475.794","-1343.191","-1610.965","-1256.168","-1952.052","-3337.711","-2018.660","-1562.983"
"1746798152","-1540.780","-3552.735","-2839.863","-272.989","-1301.169","-788.867","-301.301","-4485.697","-355.840","-1411.885","-1631.081","-1282.245","-1841.336","-3152.490","-1985.133","-1568.496"
"1746798153","-1490.563","-3383.607","-2850.443","-184.327","-1250.058","-802.726","-257.641","-4495.531","-216.663","-1388.341","-1801.848","-1264.811","-1961.887","-3155.321","-2186.447","-1569.986"
"1746798154","-1511.276","-3267.229","-2863.407","-68.694","-1220.852","-925.958","-280.440","-4508.197","-270.307","-1306.832","-1746.118","-1258.552","-2069.771","-3311.932","-1984.239","-1590.550"
"1746798155","-1608.580","-3398.806","-2870.411","-98.348","-1288.205","-925.958","-362.098","-4503.727","-434.220","-1256.615","-1614.541","-1259.446","-2080.351","-3365.576","-1956.522","-1566.410"
"1746798156","-1703.650","-3522.038","-2865.344","-194.758","-1354.218","-828.356","-386.536","-4487.187","-499.785","-1239.479","-1638.979","-1273.155","-1896.322","-3115.982","-2203.435","-1444.817"
